year,Region,size_sex,abundance_mil,stderr_mil,lwr_95,upp_95
2010,NBS,immature_female,6491.280346959811,908.7259701404239,4710.21017366836,8272.350520251262
2010,NBS,male31to60,7259.807372788643,971.2043562343922,5356.281812940826,9163.33293263646
2010,NBS,male61to90,93.08648483247913,21.719147385919424,50.5177381811598,135.65523148379845
2010,NBS,male91to120,0,0,0,0
2010,NBS,mature_female,596.4090311426135,117.04983711256791,366.99556600570054,825.8224962795264
2017,NBS,immature_female,5226.410272200683,1154.9562435415398,2962.7376311395938,7490.082913261772
2017,NBS,male31to60,7716.378219142682,1518.2673691749073,4740.628856657486,10692.127581627878
2017,NBS,male61to90,22.824371696340137,6.102830714688435,10.863043291805969,34.78570010087431
2017,NBS,male91to120,0.04383411643698252,0.043834116436982526,-0.04207917307363842,0.12974740594760345
2017,NBS,mature_female,210.73621005383816,44.862938565910696,122.80646622402018,298.66595388365613
2018,NBS,immature_female,2736.5554534606767,1010.8379232192228,755.3495297437357,4717.761377177618
2018,NBS,male31to60,5071.848478181174,1824.1166359856763,1496.645568048889,8647.051388313459
2018,NBS,male61to90,81.02710889154766,67.09536524992109,-50.477390527857935,212.53160831095323
2018,NBS,male91to120,0.6365195093243121,0.6365195093243127,-0.6110358044084476,1.8840748230570719
2018,NBS,mature_female,113.67022743173769,58.411427938888764,-0.8140676140409653,228.1545224775163
2019,NBS,immature_female,977.4085812986267,153.22042996169895,677.102056877955,1277.7151057192984
2019,NBS,male31to60,2653.776840564199,478.4489456356531,1716.034138677157,3591.5195424512413
2019,NBS,male61to90,609.6110677093772,159.8808269434169,296.25040508179893,922.9717303369553
2019,NBS,male91to120,15.666244697465503,10.176758031690426,-4.279834524026461,35.612323918957465
2019,NBS,mature_female,272.5507645256154,75.88190114754525,123.82497119799814,421.2765578532327
